,artist,track,timestamp,artist_id,track_id
2934,Mastodon,Steambreather,1679912360,1Dvfqq39HxvCJ3GvfeIFuT,4Ut80ggQbyiJN2pGCs7VfB
2935,System of a Down,Lost in Hollywood,1679843198,5eAWCfyUhZtHHtBdNk56l1,0GrHWVTDsaWcD4nrCGr7VE
2936,Havok,Point Of No Return,1679842920,2jw4wgixxa20jls9N3Bdpq,5nx2UgWzyJAjDvpvvnRAZ8
2937,Deftones,Back to School (Mini Maggit),1679841472,6Ghvu1VvMGScGpOUJBAHNH,0Qrb3L8JgreLBW8g4qyan9
2938,Lil Yachty,Poland,1679841121,6icQOAFXDZKsumw3YXyusw,74loibzxXRL875X20kenvk
2939,Octavian,Boring,1679840942,5zfEatKLDdRkgbw6sdLBAQ,75xfxSQ5lDLUvj1Li1SFiT
2940,Quavo,HOTEL LOBBY (Unc & Phew),1679840798,0VRj0yCOv2FXJNP47XQnx5,4vVjPTApwXZwB2H3mBq3ml
2941,Lil Baby,Freestyle,1679840636,5f7VJjfbwm532GiveGC0ZK,5BbdKBZO0TH0GhfxUfyhL9
2942,MARU NARA,I NEVA GO HARD,1679840515,5SuaUzakw0rAFIqYmhId91,25zl1QXl5lVy1Ae0PB81Ut
2943,JID,Surround Sound (feat. 21 Savage & Baby Tate),1679840283,6U3ybJ9UHNKEdsH7ktGBZ7,1udwFobQ1JoOdWPQrp2b6u
2944,Joey Bada$$,THE REV3NGE,1679840137,2P5sC9cVZDToPxyomzF1UH,2qvc0vB4AAW39DR9j6vXa1
2945,A$AP Ant,Pudge Rodriguez,1679840011,45m1IiS45uD1HcPlYkNWKj,1p0fG2qsRTz5axiF0UEoMc
2946,Baby Keem,trademark usa,1679839741,5SXuuuRpukkTvsLuUknva1,15hJmqqEtASVXl6sM7i4UF
2947,Metro Boomin,No Complaints (feat. Offset & Drake) (Bonus),1679839475,0iEtIxbK0KxaSlF7G42ZOp,156LzfvMNKuXuiot4uzhGD
2948,Drake,0 To 100 / The Catch Up,1679839199,3TVXtAsR1Inumwj472S9r4,4jtyUzZm9WLc2AdaJ1dso7
2949,A$AP Rocky,Shittin' Me,1679838694,13ubrt8QOOCPljQ2FL1Kca,31UJ8vd4JQc1JEa7TgcDSz
2950,Future,712PM,1679838520,1RyvyyTE3xzB2ZywiAwp0i,3FSwpQ9dBZBeBV6UdYHI2R
2951,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],1679838337,0iEtIxbK0KxaSlF7G42ZOp,0vjeOZ3Ft5jvAi9SBFJm1j
2952,Smiley,Over The Top (feat. Drake),1679838183,6jeg7JBX9J9097esK752iR,22ruOqBqBRiZDiXFud4OXa
2953,Drake,No Friends in the Industry,1679837980,3TVXtAsR1Inumwj472S9r4,2tUL6dZf1mywCj5WvCPZw6
2954,Rammstein,Heirate mich,1679837620,6wWVKhxIU2cEi0K81v7HvP,33LTCp3HM36k7KuB7M3IHd
2955,Metallica,Holier Than Thou,1679837393,2ye2Wgw4gimLv2eAKyk1NB,5VJ05rDJ2O4cECGNbWPi64
2956,Marilyn Manson,The Beautiful People,1679837173,2VYQTNDsvvKN9wmU5W7xpj,2aIB1CdRRG7YLBu9hNw9nR
2957,Rammstein,Mutter,1679836904,6wWVKhxIU2cEi0K81v7HvP,3Yj9lNYD0su1mbTtA1ktat
2958,Deftones,Back to School (Mini Maggit),1679836667,6Ghvu1VvMGScGpOUJBAHNH,0Qrb3L8JgreLBW8g4qyan9
2959,Los Hermanos,Anna Júlia,1679824247,7Brxri4l1ATShikyHXsEr6,0aASUtDb1N96NJDwmWj5Gf
2960,Green Day,Basket Case,1679824066,7oPftvlwr6VrsViSDV7fJY,6L89mwZXSOwYl76YXfX13s
2961,Konsumo Respeto,Nariz,1679823710,1RmcjyvKHwr9TCZqfHMflP,0il1ebpDOYFsVqQxIME5Sa
2962,Pennywise,Try to Confirm - 2005 Remaster,1679823549,6i0KVTOvm96T55mbp742ks,72hjbaCCXTGnnRUbX8j7ET
2963,La Pestilencia,Les Vale Huevo,1679823404,09N5SuYvKJPb6mX34qfeM3,7KvCnxlPfqMs8YcNfj8kR2
2964,Green Day,Holiday / Boulevard of Broken Dreams,1679822782,7oPftvlwr6VrsViSDV7fJY,0MsrWnxQZxPAcov7c74sSo
2965,Rise Against,Give It All,1679822612,6Wr3hh341P84m3EI8qdn9O,6TTBhxnb9NYT7cz6aLOkBy
2966,Face to Face,Bent But Not Broken,1679822462,4l9ufn9GC6LLYXvIanDlLd,7mgfkas4xZ3pxJFBpsaioV
2967,Extremoduro,So payaso,1679822162,3bgsNtcf5d5h9jbQbohfBK,5HSpMRUC4m3L3q48to2Kmu
2968,Les Sales Majestés,Sois pauvre et tais toi !,1679821972,1qMwG3Gg5RJkSMXS8dFWYw,2NhzmLZIgnEH7o8lRXRBlz
2969,Tiro De Gracia,El Juego Verdadero,1679821780,3yIbPI61iAhMptDnfnyScb,6o2vC4OjOQVC3F0ngQBrW7
2970,North Alone,Sk8,1679821584,7rNKc0I5ldUV7AvXIltX8h,5OYWOpDUVmjS4tTnuiSLRN
2971,Pennywise,Can't Believe It - Live,1679821458,,
2972,Ska-P,Colores,1679821238,2fiiGUBgPsIKDCE0bTthnl,1rZQzXPYZxPv6AjfCz4oBP
2973,5'nizza,солдат,1679793177,,
2974,Greeicy,Destino,1679771697,5dbaLmK5SHLLg8Z4CcTJpX,041Kcvnw8nOdq8xiRibPTG
2975,J Balvin,Rojo,1679770361,1vyhD5VmyZ7KMfW5gqLgo5,380HmhwTE2NJgawn1NwkXi
2976,Nicky Jam,Travesuras,1679770166,1SupJlEpv7RS2tPNRaHViT,2t7LjWmKWJV1X59zYaCsvy
2977,Tropkillaz,Bola Rebola,1679769331,5bzWtCkjIAMgN93gLt56SO,1OUPXna2MCgAt3VNmXJBtg
2978,Bad Bunny,Safaera,1679769035,4q3ewBCX7sLwd24euuV69X,2DEZmgHKAvm41k4J3R2E9Y
2979,Don Omar,Salió El Sol - Remastered 2016,1679768492,33ScadVnbm2X8kkUqOkC6Z,6w5wRGoHWI7Ktt9lQBLQig
2980,Farruko,Pepas,1679768205,329e4yvIujISKGKz1BZZbO,5fwSHlTEWpluwOM0Sxnh5k
2981,Nicky Jam,X,1679767910,1SupJlEpv7RS2tPNRaHViT,5YUyW9opqNsMSEzzecZih1
2982,Darell,Te Boté,1679767633,1TtXnWcUs0FCkaZDPGYHdf,42FWqCxAw5aG1FvjyVjIlH
2983,Tainy,Adicto (with Anuel AA & Ozuna),1679767362,0GM7qgcRCORpGnfcN2tCiB,3jbT1Y5MoPwEIpZndDDwVq
2984,Bad Bunny,Safaera,1679767066,4q3ewBCX7sLwd24euuV69X,2DEZmgHKAvm41k4J3R2E9Y
2985,Piso 21,Te Amo,1679766864,4bw2Am3p9ji3mYsXNXtQcd,5evBivAS2RXMvvYraKrbCY
2986,Bad Bunny,La Difícil,1679766701,4q3ewBCX7sLwd24euuV69X,6NfrH0ANGmgBXyxgV2PeXt
2987,J Balvin,No Es Justo,1679766449,1vyhD5VmyZ7KMfW5gqLgo5,0vOxxpmE0YcykjsmcvpWao
2988,Wisin & Yandel,Aullando,1679766223,1wZtkThiXbVNtj6hee6dz9,7BuHdm4lQqcyG3qTwdkxus
2989,Don Omar,Dale Don Dale,1679766010,33ScadVnbm2X8kkUqOkC6Z,1PZrHbJjt5t7dP9OGRxcD0
2990,J Balvin,Morado,1679765809,1vyhD5VmyZ7KMfW5gqLgo5,6G1wOF6WzWkMrJ4XnlAEHW
2991,Reykon,Domingo (feat. Cosculluela),1679765369,3PAwspMN27PDm81WwXDsMf,6ayCEojiJIe5d8DwXVlGU4
2992,Manuel Turizo,Una Lady Como Tú,1679765155,0tmwSHipWxN12fsoLcFU3B,5jf0PmPCHefQ78uAzqIqbj
2993,Paulo Londra,Adan y Eva,1679764897,3vQ0GE3mI0dAaxIMYe5g7z,3ouer8y7mYRbRmLwYeNNkt
2994,Lalo Ebratt,Déjate Querer,1679764501,1GAymyGBvB4gQy5Z5LZ1Wj,3mN2DtljBhnrIpc3Nu2pJ8
2995,Rauw Alejandro,Fantasias,1679764302,1mcTU81TzQhprhouKaTkpq,6mAN61JH0dzyZpWslS11jy
2996,Rich Music LTD,Quizas,1679764085,2kqUKsTuEj1lPbm6BSn1AU,5Id5B3dxJZhPcV9GzgYZZe
2997,Farruko,Pepas,1679763798,329e4yvIujISKGKz1BZZbO,5fwSHlTEWpluwOM0Sxnh5k
2998,Bicep,Glue,1679762948,73A3bLnfnz5BoQjb4gNCga,2aJDlirz6v2a4HREki98cP
2999,The Blaze,SIREN,1679762665,1Dt1UKLtrJIW1xxRBejjos,0gO8TgirnX5bONMONpaLsF
3000,Quavo,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,1679762416,0VRj0yCOv2FXJNP47XQnx5,1qA7crrPzO702kDZgRAhyk
3001,Travis Scott,5% TINT,1679762098,0Y5tJX1MQlPlqiwlOH1tJY,11kDth1aKUEUMq9r1pqyds
3002,J-Tek,Tim Duncan,1679761978,1lSGNvxefF3baOOG9mQtUj,0ReYguSkVDkCaHioRnladI
3003,Southside,Hold That Heat (feat. Travis Scott),1679761755,23DYJsw4uSCguIqiTIDtcN,6OrTKLtcF7EBayOV2QqkSK
3004,Jack Harlow,Dua Lipa,1679761620,2LIk90788K0zvyj2JJVwkJ,0LnS7aOdOdI1dNKZqdOLz4
3005,Pharrell Williams,Cash In Cash Out,1679761404,2RdwBSPQiwcmiDo9kixcl8,3S68RFe1lsdCdTMPIMJM3X
3006,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],1679761067,0iEtIxbK0KxaSlF7G42ZOp,0vjeOZ3Ft5jvAi9SBFJm1j
3007,A$AP Rocky,Praise the Lord (Da Shine) (feat. Skepta),1679760860,13ubrt8QOOCPljQ2FL1Kca,7ycWLEP1GsNjVvcjawXz3z
3008,A$AP Rocky,Shittin' Me,1679760716,13ubrt8QOOCPljQ2FL1Kca,31UJ8vd4JQc1JEa7TgcDSz
3009,Future,I'M ON ONE (feat. Drake),1679760481,,
3010,21 Savage,a lot,1679760193,1URnnhqYAYcrqrcwql10ft,2t8yVaLvJ0RenpXUIAC52d
3011,Octavian,Boring,1679760014,5zfEatKLDdRkgbw6sdLBAQ,75xfxSQ5lDLUvj1Li1SFiT
3012,Kid Cudi,Do What I Want,1679759841,0fA0VVWsXO9YnASrzqfmYu,5OIz27S6SQOJtweneBd6QP
3013,Travis Scott,Escape Plan,1679759692,0Y5tJX1MQlPlqiwlOH1tJY,4R67rQNSbbsR4TdUVOIdez
3014,NAV,Never Sleep (with Lil Baby feat. Travis Scott),1679759505,7rkW85dBwwrJtlHRDkJDAC,3GdWfmQBiiJrDUvSZS1bGv
3015,Denzel Curry,Walkin - Key Glock remix,1679759279,6fxyWrfmjcbj5d12gXeiNV,5GJS3CY3aqbT9j2lv434aQ
3016,Future,PUFFIN ON ZOOTIEZ,1679759105,1RyvyyTE3xzB2ZywiAwp0i,1qMMYpVatbRITKCfq1gasi
3017,Future,712PM,1679758931,1RyvyyTE3xzB2ZywiAwp0i,3FSwpQ9dBZBeBV6UdYHI2R
3018,Pop Smoke,Hawk Em,1679758407,0eDvMgVFoNV3TpwtrVCoTj,2ZRdQMMKtmPLdYp9aP5cK5
3019,Lil Baby,Freestyle,1679758101,5f7VJjfbwm532GiveGC0ZK,5BbdKBZO0TH0GhfxUfyhL9
3020,MARU NARA,I NEVA GO HARD,1679757979,5SuaUzakw0rAFIqYmhId91,25zl1QXl5lVy1Ae0PB81Ut
3021,West,Euro$tep,1679757831,0rCFX1FVZ9ulGM0uZm37tN,1M0ksKzSWyU756Vkdn148v
3022,Pharrell Williams,Down In Atlanta,1679757666,2RdwBSPQiwcmiDo9kixcl8,5unjCay0kUjuej5ebn4nS4
3023,21 Savage,Runnin,1679757470,1URnnhqYAYcrqrcwql10ft,5SWnsxjhdcEDc7LJjq9UHk
3024,21 Savage,1.5,1679757321,1URnnhqYAYcrqrcwql10ft,2wOXxtHZgRkkrkEbKLzzqs
3025,Armani White,GOATED. (feat. Denzel Curry),1679757123,2qAwMsiIjTzlmfAkXKvhVA,2PWVxWymGDZKj5BZJB7dAR
3026,Quavo,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,1679756958,0VRj0yCOv2FXJNP47XQnx5,1qA7crrPzO702kDZgRAhyk
3027,A$AP Ant,Pudge Rodriguez,1679756833,45m1IiS45uD1HcPlYkNWKj,1p0fG2qsRTz5axiF0UEoMc
3028,Travis Scott,5% TINT,1679756636,0Y5tJX1MQlPlqiwlOH1tJY,11kDth1aKUEUMq9r1pqyds
3029,J-Tek,Tim Duncan,1679756519,1lSGNvxefF3baOOG9mQtUj,0ReYguSkVDkCaHioRnladI
3030,Southside,Hold That Heat (feat. Travis Scott),1679756297,23DYJsw4uSCguIqiTIDtcN,6OrTKLtcF7EBayOV2QqkSK
3031,Jack Harlow,Dua Lipa,1679756162,2LIk90788K0zvyj2JJVwkJ,0LnS7aOdOdI1dNKZqdOLz4
3032,A$AP Rocky,Shittin' Me,1679755799,13ubrt8QOOCPljQ2FL1Kca,31UJ8vd4JQc1JEa7TgcDSz
3033,Quavo,HOTEL LOBBY (Unc & Phew),1679755656,0VRj0yCOv2FXJNP47XQnx5,4vVjPTApwXZwB2H3mBq3ml
3034,Ato Woody,Bring That Beat,1679755524,7iHSkcvaEv9CubD97pUl4p,6RYgnxDFbySiYsMEhPP0MZ
3035,Denzel Curry,X-Wing,1679755348,6fxyWrfmjcbj5d12gXeiNV,41X9qar6SruZOPLIV7sgUw
3036,Baby Keem,trademark usa,1679755076,5SXuuuRpukkTvsLuUknva1,15hJmqqEtASVXl6sM7i4UF
3037,Kendrick Lamar,N95,1679754879,2YZyLoL8N0Wb9xBt1NhZWg,0fX4oNGBWO3dSGUZcVdVV2
3038,JID,Dance Now (feat. Kenny Mason),1679754497,6U3ybJ9UHNKEdsH7ktGBZ7,2WrldKXSBVbNNm3A9vJryi
3039,Drake,On BS,1679754029,3TVXtAsR1Inumwj472S9r4,34tz0eDhGuFErIuW3q4mPX
3040,Lil Baby,Yes Indeed,1679753887,5f7VJjfbwm532GiveGC0ZK,6vN77lE9LK6HP2DewaN6HZ
3041,Drake,0 To 100 / The Catch Up,1679753611,3TVXtAsR1Inumwj472S9r4,4jtyUzZm9WLc2AdaJ1dso7
3042,Swedish House Mafia,Frankenstein (feat. A$AP Rocky),1679753405,1h6Cn3P4NGzXbaXidqURXs,3gDRZkL8YfzpZg1N1YsW5x
3043,Rise Of The Northstar,Welcame (Furyo State of Mind),1679753164,5vDfbSPkurKQxpVVXALJ4K,0YqN3VB5yW6YiVjKgptaL7
3044,The Offspring,Feelings,1679752813,5LfGQac0EIXyAN8aUwmNAQ,50UeatbSCQaOInjokdo7WQ
3045,Pennywise,Something Wrong With Me,1679752653,6i0KVTOvm96T55mbp742ks,0WGKwo98neAoQ5RmQm49Ee
3046,Bishops Green,Alone,1679752442,4qekz4ZfoSIDck84h2nIy7,5k2ae7N0l0wRPk2mpUktpo
3047,Sick of It All,Hello Pricks,1679752268,1Px6nQCyIRM4Gj0tyvZ1TU,3DoNw46r8bV9GQ6oul1vxe
3048,Dramarama,"Anything, Anything",1679752061,0jyR47SLnL38FWQPPSth1v,7qAfN3OAhDcwAhGe9Nq7Mi
3049,Face to Face,Bent But Not Broken,1679751910,4l9ufn9GC6LLYXvIanDlLd,7mgfkas4xZ3pxJFBpsaioV
3050,Bad Religion,Incomplete,1679751760,2yJwXpWAQOOl5XFzbCxLs9,3cZxrIwGDz6lKi2S1XMgmA
3051,Bad Religion,Slaves - Alternate Version,1679751692,2yJwXpWAQOOl5XFzbCxLs9,65sD4qei9b05lSBAJhdNop
3052,Los Hermanos,Vai Embora,1679751561,7Brxri4l1ATShikyHXsEr6,29TEbK0LQahBKHAzUAGK2Q
3053,Boikot,Kualqiier Dia,1679750992,0wppCmJl3glHZZScLcs4gn,1XbkYc0szlepSM3Na5EcG5
3054,Itchy,Never Say Die,1679750847,42pWilgI9MEZARoTtGHNR4,7o7Ds1Lt8q3st8vqNiRWDD
3055,Los Hermanos,Aline,1679750647,7Brxri4l1ATShikyHXsEr6,4nWTBNytP0FPi7nM3cyW6X
3056,Green Day,Longview,1679750279,7oPftvlwr6VrsViSDV7fJY,3LRJbFT9rKoKv4aW7PuBJC
3057,The Offspring,Nitro (Youth Energy),1679750131,5LfGQac0EIXyAN8aUwmNAQ,6LjDGj9Hn5ERX3uhrT9LGV
3058,Green Day,Basket Case,1679749950,7oPftvlwr6VrsViSDV7fJY,6L89mwZXSOwYl76YXfX13s
3059,The Offspring,All I Want,1679749834,5LfGQac0EIXyAN8aUwmNAQ,717oSBYrcR8awQgUsmyE32
3060,Konsumo Respeto,Una noche más,1679749616,1RmcjyvKHwr9TCZqfHMflP,6DFFUOIwqt52RFZb2WuSHO
3061,Pennywise,Living For Today - Live,1679749426,6i0KVTOvm96T55mbp742ks,3HOrQhEajGkCvuxuyZwqOm
3062,Panda,Maracas,1679749216,,
3063,Polkageist,Esmerim Bicim Bicim,1679748991,6gaKCYAvHEBhqQycM4NymR,5AAsire9XdBm0eAMALTtXv
3064,Bad Religion,American Jesus,1679748792,2yJwXpWAQOOl5XFzbCxLs9,5TZn3LQSWwVPnBlPgFKb54
3065,La Polla Records,Ya no quiero ser yo,1679748612,3vHlZN6pTa2zOl2eVxiEdJ,6ZYOD9SnW5y0kjwpcAPFk5
3066,Alvin és a Mókusok,A Békéhez Túl Sokan Vagyunk,1679748366,0ZDycmbZQKFaCzfQtnu3hS,6nzjHCFZFPaQR8WH4Nrzeb
3067,Ska-P,Colores,1679748146,2fiiGUBgPsIKDCE0bTthnl,1rZQzXPYZxPv6AjfCz4oBP
3068,The Blaze,SIREN,1679746050,1Dt1UKLtrJIW1xxRBejjos,0gO8TgirnX5bONMONpaLsF
3069,Floating Points,Grammar,1679745588,2AR42Ur9PcchQDtEdwkv4L,4wgE9XKaHBl9E42jK7AgVu
3070,Bicep,Glue,1679745319,73A3bLnfnz5BoQjb4gNCga,2aJDlirz6v2a4HREki98cP
3071,Boston Bun,Missing You,1679745111,1Na1sVrGWKwAigaW7a6hi5,4EeeRPXUAUQHkBxu3g1LxT
3072,Polo & Pan,Canopée,1679744834,45yEuthJ9yq1rNXAOpBnqM,260V7huyJrXnyYe0dFv2Fa
3073,Bicep,Opal - Four Tet Remix,1679744339,73A3bLnfnz5BoQjb4gNCga,3VtTuQ6lypMoOBcm6VMzdh
3074,Bicep,Rain,1679743988,73A3bLnfnz5BoQjb4gNCga,1uhGW4jUw12CdZCnXBKanD
3075,Polo & Pan,Nanã,1679743382,45yEuthJ9yq1rNXAOpBnqM,0Psz3az3RIYfJpnsajBT8N
3076,The Blaze,Places,1679743168,1Dt1UKLtrJIW1xxRBejjos,3eSmjY0PxxTlX6UxRDKaul
3077,The Blaze,She,1679742950,1Dt1UKLtrJIW1xxRBejjos,2u8GDlTkOd3bLSXJM8ZmXg
3078,Quavo,To The Bone (feat. YoungBoy Never Broke Again),1679742609,0VRj0yCOv2FXJNP47XQnx5,4wRJHXHDJnKSPr9IVn0BFR
3079,Lil Baby,Yes Indeed,1679697292,5f7VJjfbwm532GiveGC0ZK,6vN77lE9LK6HP2DewaN6HZ
